table_name,field_count_mosaic,raw_field_rows_mosaic,present_mosaic,field_count_systemc,raw_field_rows_systemc,present_systemc,field_count_eclipse,raw_field_rows_eclipse,present_eclipse,present_in_sources,present_in_all_3,field_count_same_where_present,column_rows_considered,field_name_set_same_all_3,full_type_same_all_common_fields,size_same_all_common_fields,nullable_same_all_common_fields,ordinal_same_all_common_fields,missing_field_rows,type_mismatch_rows,size_mismatch_rows,nullable_mismatch_rows,ordinal_mismatch_rows,common_fields_with_any_within_source_duplicates,common_fields_with_any_within_source_conflicts,all_three_match_cleanly
ssd_address,7,7,True,7,14,True,7,14,True,3,True,True,7,True,False,False,True,False,0,7,5,0,6,7,7,False
ssd_assessment_factors,3,3,True,3,6,True,3,3,True,3,True,True,3,True,False,False,True,True,0,3,3,0,0,3,0,False
ssd_care_leavers,12,12,True,12,24,True,12,12,True,3,True,True,12,True,False,False,True,True,0,12,10,0,0,12,0,False
ssd_cin_assessments,10,10,True,10,20,True,10,10,True,3,True,True,10,True,False,False,True,True,0,10,8,0,0,10,0,False
ssd_cin_episodes,12,12,True,12,24,True,12,12,True,3,True,True,12,True,False,False,True,True,0,12,10,0,0,12,1,False
ssd_cin_plans,7,7,True,7,14,True,7,7,True,3,True,True,8,False,False,False,True,True,2,6,4,0,0,6,0,False
ssd_cin_visits,6,6,True,6,12,True,6,6,True,3,True,True,7,False,False,False,True,True,2,5,4,0,0,5,0,False
ssd_cla_care_plan,5,5,True,5,10,True,5,5,True,3,True,True,6,False,False,False,True,False,2,4,2,0,4,4,0,False
ssd_cla_convictions,3,3,True,4,8,True,4,4,True,3,True,False,4,False,False,False,True,True,1,3,2,0,0,3,0,False
ssd_cla_episodes,12,12,True,12,24,True,12,12,True,3,True,True,12,True,False,False,True,False,0,12,8,0,10,12,0,False
ssd_cla_health,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,True,0,5,4,0,0,5,0,False
ssd_cla_immunisations,2,2,True,3,6,True,3,3,True,3,True,False,3,False,False,False,True,True,1,2,2,0,0,2,0,False
ssd_cla_placement,10,10,True,11,22,True,11,11,True,3,True,False,11,False,False,False,True,False,1,10,7,0,9,10,0,False
ssd_cla_previous_permanence,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,False,0,5,5,0,3,5,0,False
ssd_cla_reviews,7,7,True,6,12,True,6,6,True,3,True,False,7,False,False,False,True,False,1,6,4,0,5,6,0,False
ssd_cla_substance_misuse,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,True,0,5,4,0,0,5,0,False
ssd_cla_visits,6,6,True,6,12,True,6,6,True,3,True,True,6,True,False,False,True,False,0,6,5,0,6,6,0,False
ssd_cohort,,,False,11,22,True,,,False,1,False,True,11,False,True,True,True,True,11,0,0,0,0,0,0,False
ssd_contacts,5,5,True,6,12,True,6,6,True,3,True,False,6,False,False,False,True,False,1,5,4,0,2,5,0,False
ssd_cp_plans,8,8,True,9,18,True,9,9,True,3,True,False,9,False,False,False,True,False,1,8,6,0,2,8,0,False
ssd_cp_reviews,18,18,True,9,18,True,9,9,True,3,True,False,20,False,False,False,True,False,13,7,5,0,6,7,0,False
ssd_cp_visits,6,7,True,7,14,True,7,7,True,3,True,False,7,False,False,False,True,False,1,6,5,0,1,6,1,False
ssd_department,4,4,True,4,8,True,4,4,True,3,True,True,4,True,False,False,True,True,0,4,4,0,0,4,0,False
ssd_dim_date,,,False,23,46,True,,,False,1,False,True,23,False,True,True,True,True,23,0,0,0,0,0,0,False
ssd_disability,3,3,True,3,6,True,3,6,True,3,True,True,3,True,False,False,True,False,0,3,3,0,2,3,0,False
ssd_early_help_episodes,8,8,True,8,16,True,8,8,True,3,True,True,8,True,False,False,True,True,0,8,6,0,0,8,0,False
ssd_ehcp_active_plans,3,3,True,3,6,True,3,3,True,3,True,True,3,True,False,False,True,True,0,3,2,0,0,3,0,False
ssd_ehcp_assessment,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,True,0,5,4,0,0,5,0,False
ssd_ehcp_named_plan,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,True,0,5,3,0,0,5,0,False
ssd_ehcp_requests,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,True,0,5,3,0,0,5,0,False
ssd_family,,,False,3,6,True,3,3,True,2,False,True,3,False,True,True,True,True,3,0,0,0,0,0,0,False
ssd_immigration_status,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,False,0,5,3,0,5,5,0,False
ssd_initial_cp_conference,13,13,True,13,26,True,13,13,True,3,True,True,13,True,False,False,True,True,0,13,11,0,0,13,0,False
ssd_involvements,8,8,True,9,18,True,9,9,True,3,True,False,9,False,False,False,True,False,1,8,6,0,1,8,0,False
ssd_legal_status,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,True,0,5,3,0,0,5,0,False
ssd_linked_identifiers,6,6,True,6,12,True,6,6,True,3,True,True,6,True,False,False,True,True,0,6,4,0,0,6,0,False
ssd_missing,7,7,True,7,14,True,7,7,True,3,True,True,7,True,False,False,True,True,0,7,5,0,0,7,0,False
ssd_mother,4,4,True,4,8,True,4,4,True,3,True,True,4,True,False,False,True,True,0,4,3,0,0,4,0,False
ssd_permanence,23,23,True,23,46,True,23,23,True,3,True,True,23,True,False,False,True,False,0,23,11,0,21,23,0,False
ssd_person,16,16,True,16,32,True,16,48,True,3,True,True,16,True,False,False,True,False,0,16,13,0,10,16,16,False
ssd_pre_cla_care_plan,,,False,5,10,True,,,False,1,False,True,5,False,True,True,True,True,5,0,0,0,0,0,0,False
ssd_pre_proceedings,24,24,True,24,48,True,24,24,True,3,True,True,24,True,False,False,True,True,0,24,14,0,0,24,0,False
ssd_professionals,8,8,True,9,18,True,9,9,True,3,True,False,9,False,False,False,True,False,1,8,6,0,6,8,0,False
ssd_s251_finance,6,6,True,6,12,True,6,6,True,3,True,True,6,True,False,False,True,True,0,6,6,0,0,6,0,False
ssd_s47_enquiry,9,9,True,9,18,True,9,9,True,3,True,True,9,True,False,False,True,False,0,9,7,0,2,9,0,False
ssd_sdq_scores,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,False,0,5,3,0,2,5,0,False
ssd_sen_need,4,4,True,4,8,True,4,4,True,3,True,True,4,True,False,False,True,True,0,4,4,0,0,4,0,False
ssd_send,5,5,True,5,10,True,5,5,True,3,True,True,5,True,False,False,True,True,0,5,5,0,0,5,0,False
ssd_voice_of_child,7,7,True,7,14,True,7,7,True,3,True,True,7,True,False,False,True,True,0,7,7,0,0,7,0,False
