object_name,categories,constraints,type,name,description,guidance,returns,cms
child,identity,unique,VARCHAR(10),LAchildID,Child Unique ID,"This must be a unique ID for each child (no longer than 10 characters) and should be retained from year to year. A child ID should not be reused after a period of time, it should be unique to a single child in your local authority. It can include alphabetic and numeric characters. Do not use non-numeric or non-alphabetic characters. 
This item is the sole means of DfE computer identification of each child record. The system is currently set to strip out any leading zeros in child identifiers. We would therefore ask local authorities not to use leading zeros in child identifiers.
If you are planning to change child identifiers, for example as part of a new computer scheme, DfE must be advised at an early stage.
If a looked-after child is adopted, and subsequently becomes looked-after again later, they should have two separate unlinked records – one for pre-adoption and one for post-adoption – with two different child identifiers.",SSDA903 | CIN,liquid_logic | mosaic
child,identity,,,Sex,Sex,"Children looked after must be classified as being male or female. In exceptional circumstances, a local authority may be unsure as to which gender should be recorded for a particular child. Where this occurs, sex should be recorded according to the wishes of the child.",SSDA903 | CIN,liquid_logic | mosaic
child,identity,,,Gender,Gender,,SSDA903 | CIN,liquid_logic | mosaic
child,identity,,VARCHAR(4),Ethnicity,Ethnicity,"We require data on ethnicity for all children. The local authority must not ascribe any ethnicity to the pupil. This information must come from the child, or the parent, guardian or carer.
Where the ethnicity has not yet been collected, this is recorded as ‘NOBT’ (information not yet obtained). Where a child, parent, guardian or carer declines to provide ethnicity data, code ‘REFU’ (refused) is recorded and returned.
Ethnicity should be recorded using one of the DfE main categories shown on the 'Lists' tab, which replicates those used in the school census and the children in need (CIN) return.",SSDA903 | CIN,liquid_logic | mosaic
child,identity,,DATE,PersonBirthDate,Date of Birth,"The date of birth should be recorded in a DD/MM/YYYY format.
If the exact day of birth is not known:
Unknown dates can be a problem for unaccompanied asylum-seeking children, If the day of birth is not known then assume that it was the 15th of the month. Do not use first day of the month as a dummy date of birth.
If the date of birth of an unaccompanied asylum-seeking child is reassessed, and:
• if the age of the child is assessed to be over 18 years, then please report the original date of birth recorded on entry into care rather than amend it to the reassessed date of birth.
• if the age of the child is assessed to be under 18 years, then please report the reassessed date of birth.",SSDA903 | CIN,liquid_logic | mosaic
child,identity,unique,CHAR(13),UPN,UPN,"The UPN must be 13 characters long. The first character is a letter (but cannot be I, O or S). The remaining characters are numeric. For example, H801200001001. If the UPN is temporary, then the last character must be a letter. The UPN field cannot be left blank unless the child is looked-after under an agreed series of short-term 
placements.For children looked after that have been adopted and subsequently return to being looked-after, the UPN on the child’s pre- and post- adoption records should be different.",SSDA903 | CIN,liquid_logic | mosaic
child,identity,,CHAR(3),UPNunknown,UPN Unknown,"If the UPN is unknown, then one of the codes below should be used. These codes are to be used within the UPN field where it is not possible to provide a UPN. They are not entered into a separate field as they are in the CIN Census.If a child is educated outside England, please use UPN unknown code UN3, unless the child has a UPN from previously attending a school in England. If the child is home educated and has previously attended a mainstream school, please provide the UPN allocated earlier.",SSDA903 | CIN,liquid_logic | mosaic
child,identity,,BOOLEAN,SENDFlag,SEND Flag,Young people who have an EHC plan or had an EHC plan or statement of SEN at the time of completing compulsory education,SSDA903 | CIN,liquid_logic | mosaic
child,identity,,DATE,ExpectedPersonBirthDate,Expected Birth Date,"Record the expected date of birth (due date) for a child who is unborn at the time of referral and who remains unborn at 31 March or when the case is closed. 
If the child is born before 31 March 2023 or before the case is closed, then the return for 
that child should not include both the date of birth and the expected date of birth.
Please note that users may wish to retain the expected date of birth on their systems, but it must not be included within the census return if the date of birth is present. It will be possible for us to assess whether the child was unborn at the time of the referral if the date of birth is later than the referral date. See section general notes, date fields for date formats.
If a child is stillborn, or the mother suffers a miscarriage (including a chemical pregnancy) or a phantom pregnancy, or there is a termination of the pregnancy, please record the expected date of birth and leave the date of birth blank. The children in need closure date does not need to match the date on the death certificate. The date of death and the final closure date can both be recorded. The reason for closure should be recorded as ‘RC2 died’.",SSDA903 | CIN,liquid_logic | mosaic
child,identity,,DATE,PersonDeathDate,Date of Death,,SSDA903 | CIN,liquid_logic | mosaic
child,identity,,BOOLEAN,MOTHER,Mother,Currently collected for CLA only,SSDA903 | CIN,liquid_logic | mosaic
child,identity,,,Country of Origin,Country of Origin,,SSDA903 | CIN,liquid_logic | mosaic
family,identity|family_identifier,unique,,Family identifier,Family identifier,,SSDA903 | CIN,liquid_logic | mosaic
family,identity|family_identifier,unique,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
address,identity|address,,,Address,Address,,SSDA903 | CIN,liquid_logic | mosaic
address,identity|address,unique,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
address,identity|address,,DATE,Address Start Date/ From,Address Start Date/ From,,SSDA903 | CIN,liquid_logic | mosaic
address,identity|address,,DATE,Address End Date/ To,Address End Date/ To,,SSDA903 | CIN,liquid_logic | mosaic
disability,identity|disability_code,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
disability,identity|disability_code,,,Disability Code,Disability Code,,SSDA903 | CIN,liquid_logic | mosaic
immigration_status,identity,unique,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
immigration_status,identity,,,Immigration Status,Immigration Status,,SSDA903 | CIN,liquid_logic | mosaic
immigration_status,identity,,DATE,Immigration Status Start,Immigration Status Start,,SSDA903 | CIN,liquid_logic | mosaic
immigration_status,identity,,DATE,Immigration Status End,Immigration Status End,,SSDA903 | CIN,liquid_logic | mosaic
mother,identity,unique,VARCHAR(10),Mother's Child Unique ID,Mother's Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
mother,identity,,VARCHAR(10),Child Unique ID (Mother),Child Unique ID (Mother),,SSDA903 | CIN,liquid_logic | mosaic
mother,identity,,DATE,MC_DOB,Date of birth of mother’s child,"Currently collected for CLA only, only first child dob collected",SSDA903 | CIN,liquid_logic | mosaic
legal_status,identity,unique,,Legal Status ID,Legal Status ID,,SSDA903 | CIN,liquid_logic | mosaic
legal_status,identity,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
legal_status,,,,Legal Status,Legal Status,"The legal status code on the SSDA903 records the legal status underlying being ‘looked-after’. If a child is looked-after because it is accommodated, the legal status goes some way to describe (in legal terms at least) why the child is being looked after. There are many legal statuses arising from the Children Act, or the Youth Justice System, to which a child can be subject, but which have no bearing on whether a child is ‘looked-after’ or not. These are not recorded on the SSDA903, and no legal status codes are provided for them.
The renewal of an existing legal status does not automatically generate a new episode. If the legal status code does not change, a new episode is not required (unless there happens to be a change of placement at the same time).
Example: If a child is already looked-after under an interim care order, a renewal of the interim care order does not change the legal status and no new episode is required. However, if a child looked-after under an interim care order becomes the subject of a full care order, then a new episode is required to record the start of the full care order.
In certain circumstances a child being looked-after can have more than one ‘lookedafter’ legal status. In general, this happens when a child who is already ‘looked-after’ under a Children Act care order comes into contact with the Youth Justice System, and as a result is detained in local authority accommodation under a second legal status. Two legal statuses cannot be shown as current on SSDA903. In such cases the latest legal status should be recorded and the episode under the previous status should be closed
Example: A child who is already subject to a care order is remanded to local authority accommodation under Section 23 (1) of CYPA 1969. The care order episode should be closed, and a new episode should start under the “remanded to local authority accommodation” legal status code. When the episode under the remand status ends, a further episode under the care order legal status will start, unless the care order has been discharged.
We have attempted to identify and provide a code for every legal status which theoretically could underpin a child being ‘looked-after’. If future changes in legislation lead to new ‘looked-after’ legal statuses, we will provide new legal status codes. Our analysis of the use of the former legal status code 98 showed that in most cases such children were either not looked-after, or that another existing legal status was appropriate.
The ‘wardship’ legal status code was a possible legal status identified by some local authorities in the consultation exercise on the future of the SSDA903 codes for which we did not have an existing legal status. However, the use of this code was restricted to just a few exceptional cases where the High Court has exercised its residual power to make a child a ward of the High Court, and has directed that the child should be accommodated by a local authority. In practice such cases werefound to be so extremely rare, it was felt that the use of a separate code could not be warranted. If such a case should arise, it should be coded C2, as the practical effects are the same.",SSDA903 | CIN,liquid_logic | mosaic
legal_status,,,DATE,Legal Status Start Date,Legal Status Start Date,,SSDA903 | CIN,liquid_logic | mosaic
legal_status,,,DATE,Legal Status End Date,Legal Status End Date,,SSDA903 | CIN,liquid_logic | mosaic
contacts,,unique,VARCHAR(),Contact ID,Contact ID,,SSDA903 | CIN,liquid_logic | mosaic
contacts,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
contacts,,,DATE,Date of Contact,Date of Contact,,SSDA903 | CIN,liquid_logic | mosaic
contacts,,,,Contact Source,Contact Source,,SSDA903 | CIN,liquid_logic | mosaic
contacts,,,,Contact Outcome ,Contact Outcome ,(EH Referral/ CIN Referral),SSDA903 | CIN,liquid_logic | mosaic
early_help_episodes,,unique,VARCHAR(),EH Episode ID,EH Episode ID,,SSDA903 | CIN,liquid_logic | mosaic
early_help_episodes,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
early_help_episodes,,,DATE,EH Episode Start Date,EH Episode Start Date,,SSDA903 | CIN,liquid_logic | mosaic
early_help_episodes,,,DATE,EH Episode End Date,EH Episode End Date,,SSDA903 | CIN,liquid_logic | mosaic
early_help_episodes,,,,EH Episode Reason for Involvement,EH Episode Reason for Involvement,,SSDA903 | CIN,liquid_logic | mosaic
early_help_episodes,,,,EH Episode End Reason,EH Episode End Reason, (Outcomes Met/ Step-up/ NFA),SSDA903 | CIN,liquid_logic | mosaic
early_help_episodes,,,,EH Episode Allocated Organisation,EH Episode Allocated Organisation,,SSDA903 | CIN,liquid_logic | mosaic
early_help_episodes,,,,EH Episode Allocated Worker,EH Episode Allocated Worker,,SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,unique,VARCHAR(),CIN Referral ID,CIN Referral ID,,SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,,DATE,CIN Referral Date,CIN Referral Date,,SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,,,CIN Referral Source,CIN Referral Source,,SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,,,CIN Referral Outcome,CIN Referral Outcome, (NFA/ Assessment/ Step-down),SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,,,CIN Closure Reason,CIN Closure Reason,,SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,,DATE,CIN Closure Date,CIN Closure Date,,SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,,,CIN Referral Completed by Team,CIN Referral Completed by Team,,SSDA903 | CIN,liquid_logic | mosaic
cin_episodes,,,,CIN Referral Completed by Worker,CIN Referral Completed by Worker,,SSDA903 | CIN,liquid_logic | mosaic
assessments,,unique,VARCHAR(),Assessment ID,Assessment ID,,SSDA903 | CIN,liquid_logic | mosaic
assessments,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
assessments,,,DATE,Assessment Start Date,Assessment Start Date,,SSDA903 | CIN,liquid_logic | mosaic
assessments,,,BOOLEAN,Child Seen During Assessment,Child Seen During Assessment,,SSDA903 | CIN,liquid_logic | mosaic
assessments,,,DATE,Assessment Authorised Date,Assessment Authorised Date,,SSDA903 | CIN,liquid_logic | mosaic
assessments,,,,Assessment Outcome,Assessment Outcome, (Step-down/ Social Care/ NFA),SSDA903 | CIN,liquid_logic | mosaic
assessments,,,,Assessment Completed by Team,Assessment Completed by Team,,SSDA903 | CIN,liquid_logic | mosaic
assessments,,,,Assessment Completed by Worker,Assessment Completed by Worker,,SSDA903 | CIN,liquid_logic | mosaic
assessment_factors,,unique,VARCHAR(),Assessment ID,Assessment ID,,SSDA903 | CIN,liquid_logic | mosaic
assessment_factors,,,,Assessment Factors,Assessment Factors,,SSDA903 | CIN,liquid_logic | mosaic
cin_plans,,unique,VARCHAR(),CIN Plan ID,CIN Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
cin_plans,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
cin_plans,,,DATE,CINPlanStartDate,CIN Plan Start Date,,SSDA903 | CIN,liquid_logic | mosaic
cin_plans,,,DATE,CIN Plan End Date,CIN Plan End Date,,SSDA903 | CIN,liquid_logic | mosaic
cin_plans,,,,CIN Allocated Team,CIN Allocated Team,,SSDA903 | CIN,liquid_logic | mosaic
cin_plans,,,,CIN Allocated Worker,CIN Allocated Worker,,SSDA903 | CIN,liquid_logic | mosaic
cin_visits,,unique,VARCHAR(),CIN Visit ID,CIN Visit ID,,SSDA903 | CIN,liquid_logic | mosaic
cin_visits,,,VARCHAR(),CIN Plan ID,CIN Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
cin_visits,,,DATE,CIN Visit Date,CIN Visit Date,,SSDA903 | CIN,liquid_logic | mosaic
cin_visits,,,BOOLEAN,Child Seen,Child Seen,,SSDA903 | CIN,liquid_logic | mosaic
cin_visits,,,BOOLEAN,Child Seen Alone,Child Seen Alone,,SSDA903 | CIN,liquid_logic | mosaic
cin_visits,,,BOOLEAN,Child Bedroom Seen,Child Bedroom Seen,,SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,unique,VARCHAR(),S47 Enquiry ID,S47 Enquiry ID,,SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,DATE,s47 equiry start,Strategy Discussion initiating S47 Enquiry Start Date,,SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,DATE,S47 Start Date,S47 Start Date,,SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,DATE,S47 Completed Date,S47 Completed Date,,SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,,S47 Outcome,S47 Outcome, (ICPC Required/ ICPC Not Required),SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,,cp conf date,Date of Initial Child Protection Conference,,SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,,cp conf outcome,Outcome of Initial Child Protection Conference, (CP Plan?),SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,,s47 allocated team,S47/ ICPC Allocated Team,,SSDA903 | CIN,liquid_logic | mosaic
s47_enquiry,,,,s47 allocated worker,S47/ ICPC Allocated Worker,,SSDA903 | CIN,liquid_logic | mosaic
cp_plans,,unique,VARCHAR(),CP Plan ID,CP Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
cp_plans,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
cp_plans,,,DATE,CP Plan Start Date,CP Plan Start Date,,SSDA903 | CIN,liquid_logic | mosaic
cp_plans,,,DATE,CP Plan End Date,CP Plan End Date,,SSDA903 | CIN,liquid_logic | mosaic
cp_plans,,,,CP Plan Allocated Team,CP Plan Allocated Team,,SSDA903 | CIN,liquid_logic | mosaic
cp_plans,,,,CP Plan Allocated Worker,CP Plan Allocated Worker,,SSDA903 | CIN,liquid_logic | mosaic
category_of_abuse,,unique,VARCHAR(),CP Plan ID,CP Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
category_of_abuse,,,,Category of Abuse,Category of Abuse,,SSDA903 | CIN,liquid_logic | mosaic
category_of_abuse,,,,Category of Abuse Start Date,Category of Abuse Start Date,,SSDA903 | CIN,liquid_logic | mosaic
