object_name,categories,constraints,type,name,description,guidance,returns,cms
cp_visits,,unique,VARCHAR(),CP Plan ID,CP Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
cp_visits,,,VARCHAR(),CP Visit ID,CP Visit ID,,SSDA903 | CIN,liquid_logic | mosaic
cp_visits,,,DATE,Date of Visit,Date of Visit,,SSDA903 | CIN,liquid_logic | mosaic
cp_visits,,,BOOLEAN,Child Seen,Child Seen,,SSDA903 | CIN,liquid_logic | mosaic
cp_visits,,,BOOLEAN,Child Seen Alone,Child Seen Alone,,SSDA903 | CIN,liquid_logic | mosaic
cp_visits,,,BOOLEAN,Child Bedroon Seen,Child Bedroon Seen,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,unique,VARCHAR(),Review ID,Review ID,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,,VARCHAR(),CP Plan ID,CP Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,,DATE,Review Due Date,Review Due Date,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,,DATE,Date of Review,Date of Review,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,,BOOLEAN,cp plan continues,CP Plan to Continue?,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,,BOOLEAN,quorate,Quorate?,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,,,Child's Participation,Child's Participation,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,,,quality of representation,Quality of representation of CYP views/ experience,,SSDA903 | CIN,liquid_logic | mosaic
cp_reviews,,,,cp progress made,"Sufficient progress made against the CP Plan to improve outcomes for the child?	",,SSDA903 | CIN,liquid_logic | mosaic
risks_to_child_at_this_conference,,,VARCHAR(),Review ID,Review ID,,SSDA903 | CIN,liquid_logic | mosaic
risks_to_child_at_this_conference,,,,Risks to child at this conference,Risks to child at this conference,,SSDA903 | CIN,liquid_logic | mosaic
cla_episodes,,unique,VARCHAR(),Episode ID,Episode ID,,SSDA903 | CIN,liquid_logic | mosaic
cla_episodes,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
cla_episodes,,,DATE,Date Episode Commenced,Date Episode Commenced,"This item records the date that each episode began. For the first episode in the year, this date can be in the current data year, or an earlier data year. When loading data using CSV or XML, dates must be recorded in a DD/MM/YYYY format. Example: 4 November 2023 should be entered as 04/11/2023.
Exceptionally, once loaded, the dates in the episode fields will appear as DD/MM/YY (year as a 2-digit number). Manual amendments to episode dates may be made using either format DD/MM/YY or DD/MM/YYYY, though the latter will appear as DD/MM/YY when saved). This is intended to make the episodes easier to read and manually amend, particularly when a record contains several episodes.
Where episodes are consecutive, the new episode must start on the same day that the previous episode finished.
When recording an agreement to provide a series of short-term placements (legal status V3/V4), enter in this field the date the first placement under the agreement began. For further information about children being looked-after under a series of short-term placements see Section 1.10.
Where an episode began in a previous statistical year, but is still open on 31 March, do not complete ‘Reason Episode Ceased’ or ‘Date Episode Ceased’. The following year’s record must then start with the same episode details showing the actual date the episode commenced if the episode subsequently closes, both the ‘Reason 
Episode Ceased’ and the ‘Date Episode Ceased’ should be recorded).
Episodes cannot start and end on the same day. If a child has two changes of legal status in one day only the second legal status is recorded. Similarly, in the unlikely event of two placements starting on the same day, only the status at the end of the day should be recorded. In such cases we no longer regard the first move of the day 
as being a placement. It follows from this that an essential component of a placement for SSDA903 purposes is that a placement must involve an overnight stay. A ‘placement’ that does not include an overnight stay should be regarded as a ‘visit’ and not shown on the SSDA903.",SSDA903 | CIN,liquid_logic | mosaic
cla_episodes,,,,Reason for New CLA Episode,Reason for New CLA Episode,"Use Code S where a child is starting to be looked-after for the first time, or had previously ceased to be looked-after, and is now starting to be looked-after again. 
Also use code S when recording agreements to provide short-term placements (legal status V4), and for individual breaks under such an agreement, if these are being recorded separately (legal status V3).
Use Code L where there is a change of legal status, but the placement does not change. By ‘legal status’ we mean the legal status underlying the fact that the child is looked-after.
Use Code P where there is a change of placement and carer, but the legal status does not change. This would include the following scenarios:
• Move from one foster carer to another foster carer (for example, U3 to another U3 placement type code).
• Move from a foster carer to a children’s home (for example, U3 to K2 placement types).
In both scenarios there has been a change of carer. When a child is living independently, a new episode should be created each time they move, and code P should be used.
Use Code T where there is a change of placement, but the child remains with the same carer and the legal status does not change. This would include the following scenarios:
• Child moves to a new house with current foster carer (either inside or outside of local authority boundary).
• Child remains with same carer or within same setting but either the URN of the setting changes or the provider type changes (for example, a foster carer moves from an IFA to the local authority provider, or a placement for adoption transferring to a regional adoption agency, or an unregulated independent or 
semi independent setting registering with Ofsted).
In both scenarios, the child has remained with the same carer, but for some other reason, a new placement is required on the SSDA903.
Use Code B where both legal status and placement change, with a change of carer, on the same day. The two changes do not need to be simultaneous or consequent one upon the other. The code simply reflects that there was a change in carer and a change in legal status, for whatever reason, on the same day.
Use Code U where both legal status and placement change on the same day, but the child remains with the same carer. The two changes do not need to be simultaneous or consequent one upon the other. The code simply reflects that there was a change in placement and a change in legal status, for whatever reason, on the same day.",SSDA903 | CIN,liquid_logic | mosaic
cla_episodes,,,DATE,DEC,Date Episode Ceased,,SSDA903 | CIN,liquid_logic | mosaic
cla_episodes,,,,REC,Reason Episode Ceased,,SSDA903 | CIN,liquid_logic | mosaic
cla_episodes,,,,Allocated Team,Allocated Team,,SSDA903 | CIN,liquid_logic | mosaic
cla_episodes,,,,Allocated Worker,Allocated Worker,,SSDA903 | CIN,liquid_logic | mosaic
placement,,unique,VARCHAR(),Placement ID,Placement ID,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,VARCHAR(),Episode ID,Episode ID,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,DATE,Placement Start Date,Placement Start Date,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,,Placement Type,Placement Type,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,VARCHAR(8),URN of Placement,URN of Placement,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,,LA of Placement,LA of Placement,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,,Placement Provider,Placement Provider,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,,Placement Postcode,Placement Postcode,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,DATE,Placement End Date,Placement End Date,,SSDA903 | CIN,liquid_logic | mosaic
placement,,,,Reason for Placement Change,Reason for Placement Change,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,Review ID,Review ID,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,Episode ID,Episode ID,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,DATE,CLA Review Due Date,CLA Review Due Date,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,DATE,CLA Review Date,CLA Review Date,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,child involved,Has the child/young person been involved in formulating this Care Plan?,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,sw met child,"Has the Social Worker met with the child on their own to undertake direct work to establish their wishes and views	",,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,Participation code,Participation code,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,CP meets childs need,Is the Care Plan meeting the child's needs?,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,BOOLEAN,permanence plan in place,Is a Permanence Plan in place?,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,DATE,last_iro,Date of Last IRO Visit / Contact to the Child,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,previously_Adopted,Has the child / young person previously been adopted or left care for special guardianship or residence order?,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,DATE,Date of Previous Permanence Order,Date of Previous Permanence Order,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,Previous Permanence Option,Previous Permanence Option,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,,Previous Permanence Arranged LA,Previous Permanence Arranged LA,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,BOOLEAN,Child convicted during the year,Child convicted during the year,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,BOOLEAN,Health surveillance checks up to date,Health surveillance checks up to date,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,DATE,Date of Last Health Assessment,Date of Last Health Assessment,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,DATE,Date of Last Dental Check,Date of Last Dental Check,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,BOOLEAN,Immunisations up to Date,Immunisations up to Date,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,BOOLEAN,substance_misuse,Identified as having a substance misuse problem,,SSDA903 | CIN,liquid_logic | mosaic
cla_reviews,,,BOOLEAN,substance_invevention,Child received intervention for substance misuse problem,,SSDA903 | CIN,liquid_logic | mosaic
care_plan,,,VARCHAR(),Review ID,Review ID,,SSDA903 | CIN,liquid_logic | mosaic
care_plan,,,,What is the chosen plan for this child/young person?,What is the chosen plan for this child/young person?,,SSDA903 | CIN,liquid_logic | mosaic
cla_visits,,unique,VARCHAR(), Visit ID, Visit ID,,SSDA903 | CIN,liquid_logic | mosaic
cla_visits,,,VARCHAR(),Episode ID,Episode ID,,SSDA903 | CIN,liquid_logic | mosaic
cla_visits,,,DATE,Date of Visit,Date of Visit,,SSDA903 | CIN,liquid_logic | mosaic
cla_visits,,,BOOLEAN,Child Seen,Child Seen,,SSDA903 | CIN,liquid_logic | mosaic
cla_visits,,,BOOLEAN,Child Seen Alone,Child Seen Alone,,SSDA903 | CIN,liquid_logic | mosaic
sdq_scores,,unique,VARCHAR(),SDQ ID,SDQ ID,,SSDA903 | CIN,liquid_logic | mosaic
sdq_scores,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
sdq_scores,,,DATE,SDQ Completed Date,SDQ Completed Date,,SSDA903 | CIN,liquid_logic | mosaic
sdq_scores,,,,SDQ Score,SDQ Score,,SSDA903 | CIN,liquid_logic | mosaic
missing,,unique,VARCHAR(),Missing Episode ID,Missing Episode ID,,SSDA903 | CIN,liquid_logic | mosaic
missing,,,VARCHAR(),Episode ID,Episode ID,,SSDA903 | CIN,liquid_logic | mosaic
missing,,,DATE,Missing Episode Start,Missing Episode Start,,SSDA903 | CIN,liquid_logic | mosaic
missing,,,,Episode Type (Missing/ Absent),Episode Type (Missing/ Absent),,SSDA903 | CIN,liquid_logic | mosaic
missing,,,DATE,Missing Episode End,Missing Episode End,,SSDA903 | CIN,liquid_logic | mosaic
missing,,,BOOLEAN,RHI Offered,RHI Offered,,SSDA903 | CIN,liquid_logic | mosaic
missing,,,BOOLEAN,RHI Accepted,RHI Accepted,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,unique,VARCHAR(),Care Leaver Table ID,Care Leaver Table ID,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,Eligibility Status/ Category,Eligibility Status/ Category,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,In Touch Category,In Touch Category,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,DATE,Latest Date of Contact,Latest Date of Contact,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,Accommodation,Accommodation,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,Suitability of Accommodation,Suitability of Accommodation,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,Activity Status,Activity Status,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,Latest Pathway Plan Review Date,Latest Pathway Plan Review Date,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,Allocated Personal Advisor,Allocated Personal Advisor,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,Allocated Team,Allocated Team,,SSDA903 | CIN,liquid_logic | mosaic
care_leavers,,,,Allocated Worker,Allocated Worker,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Date of ADM Decision ,Date of ADM Decision ,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Date of FFA/ CP Decision,Date of FFA/ CP Decision,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Date the entered Care,Date the entered Care,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Date of Placement/ Freeing Order,Date of Placement/ Freeing Order,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Date Placed for Adoption,Date Placed for Adoption,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Date_matched,Date Matched to Prospective Adopters,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Date_placed,Date Placed in FFA/ CP Placement ,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Decision_date,Date of Decision that Child Should No Longer be Placed for Adoption,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,foster_date,Date originally placed with foster carer(s) (if adopted by foster carer/s),,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,BOOLEAN,sibling_group,Is the child a part of a sibling group?,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,TINYINT(2),number_siblings_placed_together,"Number of children placed, or planned to be placed, for adoption together as sibling group INCLUDING this child",,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,TINYINT(2),number_siblings_placed_seperate,"Number of siblings placed, or planned to be placed, for adoption separately from the child",,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,VARCHAR(8),URN of Placement,URN of the placement provider agency,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,,Not_placed_reason,Reason No Longer Placed for Adoption,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,DATE,Date of Order ,Date of Order ,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,,Type of Order,Type of Order,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,,Status of Special Guardian,Status of Special Guardian,,SSDA903 | CIN,liquid_logic | mosaic
permanence,,,TINYINT(2),Age of Special Guardian,Age of Special Guardian,,SSDA903 | CIN,liquid_logic | mosaic
send,,unique,,UPN,UPN,,SSDA903 | CIN,liquid_logic | mosaic
send,,,VARCHAR(10),Child Unique ID,Child Unique ID,,SSDA903 | CIN,liquid_logic | mosaic
requests,,unique,VARCHAR(),Request ID,Request ID,,SSDA903 | CIN,liquid_logic | mosaic
requests,,,CHAR(13),UPN,UPN,,SSDA903 | CIN,liquid_logic | mosaic
requests,,,DATE,Received Date,Received Date,,SSDA903 | CIN,liquid_logic | mosaic
requests,,,DATE,Request Outcome Date,Request Outcome Date,,SSDA903 | CIN,liquid_logic | mosaic
requests,,,,Request Outcome,Request Outcome,,SSDA903 | CIN,liquid_logic | mosaic
assessment,,unique,VARCHAR(),Assessment ID,Assessment ID,,SSDA903 | CIN,liquid_logic | mosaic
assessment,,,VARCHAR(),Request ID,Request ID,,SSDA903 | CIN,liquid_logic | mosaic
assessment,,,DATE,Assessment Outcome Date,Assessment Outcome Date,,SSDA903 | CIN,liquid_logic | mosaic
assessment,,,,Assessment Outcome,Assessment Outcome,,SSDA903 | CIN,liquid_logic | mosaic
named_plan,,unique,VARCHAR(),Named Plan ID,Named Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
named_plan,,,VARCHAR(),Assessment ID,Assessment ID,,SSDA903 | CIN,liquid_logic | mosaic
named_plan,,,DATE,Start Date,Start Date,,SSDA903 | CIN,liquid_logic | mosaic
named_plan,,,DATE,Cease Date,Cease Date,,SSDA903 | CIN,liquid_logic | mosaic
named_plan,,,,Cease Reason,Cease Reason,,SSDA903 | CIN,liquid_logic | mosaic
active_plans,,unique,VARCHAR(),Plan ID,Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
active_plans,,,VARCHAR(),Request ID,Request ID,,SSDA903 | CIN,liquid_logic | mosaic
active_plans,,,,Last Review,Last Review,,SSDA903 | CIN,liquid_logic | mosaic
sen_need,,unique,VARCHAR(),SEN Need ID,SEN Need ID,,SSDA903 | CIN,liquid_logic | mosaic
sen_need,,,VARCHAR(),Plan ID,Plan ID,,SSDA903 | CIN,liquid_logic | mosaic
sen_need,,,,SEN Type,SEN Type,,SSDA903 | CIN,liquid_logic | mosaic
sen_need,,,,SEN Type Rank,SEN Type Rank,,SSDA903 | CIN,liquid_logic | mosaic
worker,,unique,VARCHAR(),sw_reg_number,Social Work England (SWE) registration number,,SSDA903 | CIN,liquid_logic | mosaic
worker,,,VARCHAR(),Agency worker,Agency worker,,SSDA903 | CIN,liquid_logic | mosaic
worker,,,VARCHAR(),Role within the organisation,Role within the organisation,,SSDA903 | CIN,liquid_logic | mosaic
worker,,,TINYINT(),num_cases,Number of cases held,,SSDA903 | CIN,liquid_logic | mosaic
worker,,,VARCHAR(),Qualification level,Qualification level,,SSDA903 | CIN,liquid_logic | mosaic
